ResultModel(adx=47, sma=9, over=7, numberOfPositions=16, result=1.2213235869710632374628973196843)
ResultModel(adx=48, sma=9, over=7, numberOfPositions=16, result=1.2213235869710632374628973196843)
ResultModel(adx=50, sma=9, over=1, numberOfPositions=18, result=1.2212558907261207286376573517546)
ResultModel(adx=50, sma=9, over=2, numberOfPositions=18, result=1.2212558907261207286376573517546)
ResultModel(adx=50, sma=9, over=3, numberOfPositions=18, result=1.2212558907261207286376573517546)
ResultModel(adx=50, sma=9, over=4, numberOfPositions=18, result=1.2212558907261207286376573517546)
ResultModel(adx=50, sma=9, over=5, numberOfPositions=18, result=1.2212558907261207286376573517546)
ResultModel(adx=51, sma=7, over=8, numberOfPositions=15, result=1.2211885572136346200699302992952)
ResultModel(adx=51, sma=7, over=9, numberOfPositions=15, result=1.2211885572136346200699302992952)
ResultModel(adx=55, sma=8, over=1, numberOfPositions=21, result=1.2211870697109976307135197753270)
ResultModel(adx=55, sma=8, over=2, numberOfPositions=21, result=1.2211870697109976307135197753270)
ResultModel(adx=55, sma=8, over=3, numberOfPositions=21, result=1.2211870697109976307135197753270)
ResultModel(adx=55, sma=8, over=4, numberOfPositions=21, result=1.2211870697109976307135197753270)
ResultModel(adx=55, sma=8, over=5, numberOfPositions=21, result=1.2211870697109976307135197753270)
ResultModel(adx=58, sma=9, over=1, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=58, sma=9, over=2, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=58, sma=9, over=3, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=58, sma=9, over=4, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=58, sma=9, over=5, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=59, sma=9, over=1, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=59, sma=9, over=2, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=59, sma=9, over=3, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=59, sma=9, over=4, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=59, sma=9, over=5, numberOfPositions=20, result=1.2204167998086816170238002166322)
ResultModel(adx=31, sma=6, over=1, numberOfPositions=29, result=1.2195332893264267158038289913739)
ResultModel(adx=31, sma=6, over=2, numberOfPositions=29, result=1.2195332893264267158038289913739)
ResultModel(adx=31, sma=6, over=3, numberOfPositions=29, result=1.2195332893264267158038289913739)
ResultModel(adx=31, sma=6, over=4, numberOfPositions=29, result=1.2195332893264267158038289913739)
