Date,Price,Open,High,Low,
6/9/2022,1847.61,1853.53,1855.52,1839.60,
6/10/2022,1870.96,1848.09,1876.47,1825.02,
6/13/2022,1818.77,1875.80,1877.38,1818.90,
6/14/2022,1808.10,1819.10,1832.19,1804.65,
6/15/2022,1833.38,1808.35,1841.74,1807.24,
6/16/2022,1856.71,1833.99,1857.91,1815.95,
6/17/2022,1839.35,1857.34,1858.29,1833.72,
6/20/2022,1838.29,1840.40,1846.42,1834.49,
6/21/2022,1832.56,1838.37,1844.15,1828.29,
6/22/2022,1837.39,1832.96,1848.44,1823.23,
6/23/2022,1822.43,1837.87,1846.19,1821.88,
6/24/2022,1826.18,1822.88,1832.15,1816.70,
6/27/2022,1822.73,1838.15,1841.34,1820.40,
6/28/2022,1819.69,1822.85,1830.09,1818.20,
6/29/2022,1817.11,1819.95,1833.24,1812.10,
6/30/2022,1806.89,1817.80,1825.90,1802.20,
7/1/2022,1810.18,1807.31,1812.09,1784.10,
7/4/2022,1809.12,1812.27,1814.36,1803.45,
7/5/2022,1764.35,1808.74,1812.42,1763.48,
7/6/2022,1738.30,1764.87,1773.06,1731.75,
7/7/2022,1744.85,1740.08,1747.77,1736.53,
